Size,Speed
20,13.3805
24,13.253833912
28,13.3255739796
32,13.4768371582
36,13.4448945473
40,13.423140625
44,13.3538575319
48,13.3397081163
52,13.4390361857
56,13.2716836735
60,13.372875
64,13.4084014893
68,13.4649558569
72,13.3888647762
76,13.4135465265
80,13.4904394531
84,14.6276168205
88,12.3880086049
92,12.4095928023
96,11.5630459256
100,11.417904
104,10.8069419948
108,10.2607294366
112,9.8163450369
116,13.6575140176
120,12.407009838
124,9.74944876389
128,10.2160086632
132,9.67210326405
136,9.57663302399
140,9.62523943149
144,9.55639681927
148,9.65070584418
152,9.56936569425
156,9.62996336545
160,9.74938012695
164,9.6794733735
168,10.3551005224
172,9.7061215915
176,9.58939178719
180,9.7928600823
184,9.69293157208
188,9.67520503646
192,10.2556653906
196,9.7499213763
200,9.702391875
204,9.73703529374
208,9.85843777559
212,9.76384479722
216,9.77852318625
220,9.81740448911
224,10.0146509287
228,9.85392958292
232,9.8348891438
236,9.95019558353
240,9.83701070602
244,9.84983730742
248,9.94911522933
252,9.85849497794
256,11.2856279612
260,9.89870476787
264,9.91385385579
268,9.96771320982
272,10.0568569874
276,10.0761456022
280,10.0573739978
284,10.2088750328
288,10.689183281
292,10.1765809319
296,10.1357049974
300,10.1773666667
304,10.098931875
308,10.1911159421
312,10.1403528025
316,10.1762328259
320,10.7307927856
324,10.204375962
328,10.1388157501
332,10.2265742368
336,10.146941417
340,10.4850849786
344,10.1902335447
348,10.3727249534
352,10.90707801
356,10.5599013263
360,10.4824085862
364,10.6523734782
368,10.5427216597
372,10.8547897964
376,10.6931420016
380,10.8753303871
384,12.1429950396
388,10.906498874
392,10.7981361169
396,10.9623994447
400,10.752711
404,10.9825563264
408,10.8414309447
412,11.0461529246
416,11.0448271274
420,11.0280647338
424,10.9068504721
428,11.0504153859
432,10.8420737612
436,11.0778644725
440,10.9457680316
444,11.0908813763
448,11.722664758
452,11.1098150652
456,11.0000528798
460,11.1374113997
464,10.9403823489
468,11.1424790391
472,11.0209138311
476,11.1742639808
480,11.120586055
484,11.2063038173
488,11.0782147652
492,11.2556119338
496,11.0446038145
500,11.340399152
504,11.1257899609
508,11.2430308901
512,12.729325071
516,11.1029049926
520,11.0856363294
524,11.1719774411
528,11.0695008854
532,11.195918552
536,11.1062985146
540,11.227025917
544,11.1858626664
548,11.2634888252
552,11.1213738151
556,11.3335491685
560,11.075784006
564,11.2776824466
568,11.0861707437
572,11.2386818086
576,11.5269381467
580,11.1945025934
584,10.990045869
588,11.2755904658
592,10.9373921121
596,11.1203954002
600,10.934375588
604,11.0727983013
608,10.8366726537
612,11.0440852547
616,10.862926008
620,11.0176335135
624,10.7988508479
628,10.9965059071
632,10.9343295366
636,10.8925699703
640,12.3238390884
644,10.9588983801
648,10.7785573027
652,10.9463809953
656,10.7240781997
660,10.9269682535
664,10.7452331087
668,10.9135322539
672,10.6577273131
676,10.9270946428
680,10.6978559307
684,10.8764594509
688,10.6367755269
692,10.8862191127
696,10.6620367523
700,10.855416035
704,11.3629796338
708,10.8768715428
712,10.6689907558
716,10.9204238216
720,10.5473465122
724,10.9073557739
728,10.7392233892
732,10.8904569146
736,10.6660471559
740,10.9602189875
744,10.808005064
748,11.0265347632
752,10.7314588055
756,11.0166899896
760,10.8710124677
764,10.4915759442
768,11.5485997045
772,11.1520946762
776,10.9335157703
780,11.1548332427
784,10.8748459089
788,11.1666861631
792,10.9806451071
796,10.5205378503
800,10.3954946699
804,11.2611121567
808,11.0655496056
812,11.2764018688
816,10.2615908077
820,10.7726461002
824,10.4126245104
828,11.3207761558
832,12.532190888
836,11.2709746042
840,10.3868836148
844,10.4621162772
848,10.2676759816
852,11.2892240429
856,10.3072289111
860,11.3153291487
864,11.1079977817
868,10.5993232292
872,11.0574527071
876,11.3110975751
880,10.2518530064
884,10.4691094839
888,10.3741822824
892,10.4988539298
896,11.6713439285
900,10.5302887311
904,11.0991301322
908,10.5065875398
912,10.2622279092
916,10.5092931623
920,11.111553847
924,10.4827090813
928,11.2022571391
932,10.6164933474
936,11.0676923582
940,10.4935125177
944,10.2787714649
948,10.4985920771
952,10.3744132033
956,10.5055588511
960,13.2712502035
964,10.9657269714
968,10.3154603075
972,10.5047256191
976,10.2632081841
980,10.5285115162
984,10.3542414795
988,10.558484871
992,10.8755671531
996,10.5680366312
